transaction_hash,block_number,transaction_index,status,gas_used,effective_gas_price,gas_units_proxy,proxy_limitation,sample_index,value_class
0xa58fc42bba58eb3f9f325a78f9d320fad0ddb262551e512adbe76fc02e649e21,25546239,32,1,230926,2916574546,230926,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",38,direct_observation_and_gas_proxy
0xcbc46ae3f046ac1d2e6b42b05ee9584fe16221bca198565eec995471fc1ee371,25546295,18,1,119487,836234327,119487,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",39,direct_observation_and_gas_proxy
0xd4e738e3f9a205ccd874053953cd1b2b94d4bdcf33a0906c83a7893e191124c6,25546304,40,1,295395,2871603974,295395,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",40,direct_observation_and_gas_proxy
0x076e8e45ece8a6315582908d571416064957f326116399a78b00c615922b0210,25546312,78,1,412165,1876703656,412165,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",41,direct_observation_and_gas_proxy
0xed1edccb99eb24f354fd7c992e43c6b7ed1f5c5a5721e5ec26e9506133d689da,25546339,126,1,207144,656461375,207144,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",42,direct_observation_and_gas_proxy
0xe0ad3b5bec8029825f66762ccdf5e1b8e29b3406314b7ee93a6f6090a3a24825,25546361,120,1,187318,2510471907,187318,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",43,direct_observation_and_gas_proxy
0x4b7b3c3f3841873e570b61085a70a39d95dc14334f5c7fc0deea458b044ceab1,25546384,30,1,120013,374468969,120013,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",44,direct_observation_and_gas_proxy
0x3b05ce9e3ee0d33b72eceff4231bc32417c17930ff5eeb29c4146caa6e3ae4c0,25546395,223,1,207207,1315938359,207207,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",45,direct_observation_and_gas_proxy
0xe99637e7e3c5eb977e4cadbf5b43ef665184038ec09d68f21fbe67ec35f76424,25546425,29,1,254633,2320578083,254633,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",46,direct_observation_and_gas_proxy
0xbd1f6019b5ad6d6fe064c7a61df3786d4d23e2c054a0957c8d37c4235741071c,25546470,114,1,130685,303359614,130685,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",47,direct_observation_and_gas_proxy
0x31dbfd7ab535f4fd3c1062bc5b89a6bf3f72b8cedbcff65bdd133f620dac5399,25546508,50,1,524558,782407559,524558,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",48,direct_observation_and_gas_proxy
0xb1bb4446b266df7095095cd643870b867414433594a820ea576a4454581a8375,25546516,113,1,318891,2225252166,318891,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",49,direct_observation_and_gas_proxy
0x3b05703273f70a987a3001407ad251281f25badc7e0a6da2a9587757dcd69508,25546543,67,1,207219,1272761144,207219,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",50,direct_observation_and_gas_proxy
